,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Padang,100,ID,1573499364,95,-0.92,100.36,67.5,1.54
1,Butaritari,28,KI,1573499258,78,3.07,172.79,82.31,13.82
2,Busselton,0,AU,1573499253,40,-33.64,115.35,54.0,18.37
3,Bredasdorp,89,ZA,1573499271,82,-34.53,20.04,66.0,14.99
4,Pagouria,40,GR,1573499703,100,41.03,25.32,62.6,2.82
5,Margate,99,AU,1573499703,47,-43.03,147.26,46.0,10.65
6,Mar del Plata,0,AR,1573499254,50,-46.43,-67.52,63.09,11.39
7,Nikolskoye,90,RU,1573499293,93,59.7,30.79,39.2,6.71
8,Luang Prabang,41,LA,1573499704,83,19.89,102.14,61.12,0.69
9,Hasaki,20,JP,1573499244,93,35.73,140.83,50.0,4.7
10,Mataura,34,NZ,1573499256,82,-46.19,168.86,44.01,7.0
11,Katsuura,40,JP,1573499318,63,33.93,134.5,61.0,8.05
12,Saldanha,100,PT,1573499314,75,41.42,-6.55,47.84,2.86
13,Bubaque,71,GW,1573499705,57,11.28,-15.83,83.86,9.24
14,Hermanus,87,ZA,1573499258,88,-34.42,19.24,66.0,5.99
15,Chitral,1,PK,1573499265,21,35.85,71.79,20.05,7.58
16,Rocha,66,UY,1573499705,66,-34.48,-54.34,67.64,13.73
17,Saint George,75,GR,1573499272,87,39.45,22.34,55.4,2.82
18,Ushuaia,75,AR,1573499252,76,-54.81,-68.31,53.6,21.92
19,Hobart,99,AU,1573499246,84,-42.88,147.33,46.0,3.0
20,Price,1,US,1573499706,32,39.6,-110.81,53.6,9.17
21,Rikitea,100,PF,1573499251,91,-23.12,-134.97,68.5,26.78
22,Puerto Ayora,20,EC,1573499247,57,-0.74,-90.35,78.8,9.17
23,Sitka,100,US,1573499311,52,37.17,-99.65,25.0,20.0
24,Tasiilaq,80,GL,1573499273,74,65.61,-37.64,37.4,29.97
25,Khatanga,100,RU,1573499247,97,71.98,102.47,2.23,4.83
26,Ixtapa,75,MX,1573499281,62,20.71,-105.21,87.01,8.05
27,Carnarvon,0,ZA,1573499285,19,-30.97,22.13,70.12,17.47
28,Hilo,1,US,1573499260,53,19.71,-155.08,80.01,5.82
